,FIP,Year,population
0,1000,2010,4785448
1,1001,2010,54754
2,1003,2010,183111
3,1005,2010,27330
4,1007,2010,22872
5,1009,2010,57373
6,1011,2010,10878
7,1013,2010,20942
8,1015,2010,118477
9,1017,2010,34122
10,1019,2010,25974
11,1021,2010,43653
12,1023,2010,13849
13,1025,2010,25765
14,1027,2010,13897
15,1029,2010,15004
16,1031,2010,50205
17,1033,2010,54525
18,1035,2010,13234
19,1037,2010,11782
20,1039,2010,37812
21,1041,2010,13874
22,1043,2010,80454
23,1045,2010,50390
24,1047,2010,43860
25,1049,2010,71159
26,1051,2010,79577
27,1053,2010,38344
28,1055,2010,104455
29,1057,2010,17227
30,1059,2010,31745
31,1061,2010,26782
32,1063,2010,8995
33,1065,2010,15745
34,1067,2010,17298
35,1069,2010,101790
36,1071,2010,53183
37,1073,2010,658158
38,1075,2010,14494
39,1077,2010,92736
40,1079,2010,34344
41,1081,2010,140806
42,1083,2010,83173
43,1085,2010,11289
44,1087,2010,21505
45,1089,2010,336093
46,1091,2010,20946
47,1093,2010,30817
48,1095,2010,93124
49,1097,2010,413319
50,1099,2010,23007
51,1101,2010,229510
52,1103,2010,119604
53,1105,2010,10567
54,1107,2010,19749
55,1109,2010,32963
56,1111,2010,22937
57,1113,2010,53307
58,1115,2010,83566
59,1117,2010,196095
60,1119,2010,13730
61,1121,2010,82100
62,1123,2010,41476
63,1125,2010,194996
64,1127,2010,66997
65,1129,2010,17627
66,1131,2010,11564
67,1133,2010,24412
68,2000,2010,713906
69,2013,2010,3166
70,2016,2010,5560
71,2020,2010,293310
72,2050,2010,17085
73,2060,2010,1002
74,2068,2010,1835
75,2070,2010,4850
76,2090,2010,98260
77,2100,2010,2501
78,2105,2010,2113
79,2110,2010,31386
80,2122,2010,55561
81,2130,2010,13566
82,2150,2010,13650
83,2158,2010,7465
84,2164,2010,1639
85,2170,2010,89735
86,2180,2010,9544
87,2185,2010,9476
88,2188,2010,7559
89,2195,2010,3219
90,2198,2010,6213
91,2220,2010,8881
92,2230,2010,968
93,2240,2010,7061
94,2261,2010,9655
95,2275,2010,2371
96,2282,2010,662
97,2290,2010,5613
98,4000,2010,6407774
99,4001,2010,71832
100,4003,2010,131822
101,4005,2010,134618
102,4007,2010,53571
103,4009,2010,37159
104,4011,2010,8332
105,4012,2010,20497
106,4013,2010,3825191
107,4015,2010,200315
108,4017,2010,107696
109,4019,2010,981653
110,4021,2010,379547
111,4023,2010,47420
112,4025,2010,210983
113,4027,2010,197138
114,5000,2010,2921978
115,5001,2010,19011
116,5003,2010,21828
117,5005,2010,41511
118,5007,2010,222592
